country,year,response,month,covid
Begium,2014,0.23,APR,no
Bulgaria,2014,0.07,APR,no
Bolivia (Plurinational State of),2014,0.06,APR,no
Brazil,2014,0.11,APR,no
Botswana,2014,0.06,APR,no
Belize,2014,0.12,APR,no
Canada,2014,0.06,APR,no
Switzerland,2014,0.04,APR,no
Chile,2014,0.06,APR,no
China,2014,0.05,APR,no
Colombia,2014,0.08,APR,no
Costa Rica,2014,0.08,APR,no
Cuba,2014,0.01,APR,no
Czechia,2014,0.13,APR,no
Germany,2014,0.07,APR,no
Denmark,2014,0.08,APR,no
Dominican Republic (the),2014,0.02,APR,no
Ecuador,2014,0.04,APR,no
Egypt,2014,0.02,APR,no
Spain,2014,0.11,APR,no
Finland,2014,0.08,APR,no
France,2014,0.07,APR,no
United Kingdom of Great Britain and Northern Ireland (the),2014,0.10,APR,no
Greece,2014,0.10,APR,no
Hong Kong,2014,0.11,APR,no
Honduras,2014,0.42,APR,no
Hungary,2014,0.24,APR,no
Indonesia,2014,0.04,APR,no
Ireland,2014,0.03,APR,no
Israel,2014,0.12,APR,no
India,2014,0.07,APR,no
Italy,2014,0.16,APR,no
Japan,2014,0.10,APR,no
Kenya,2014,0.00,APR,no
Cambodia,2014,0.02,APR,no
Korea (the Republic of),2014,0.07,APR,no
Kazakhstan,2014,0.04,APR,no
Sri Lanka,2014,0.34,APR,no
Lithuania,2014,0.12,APR,no
Morocco,2014,0.34,APR,no
Madagascar,2014,0.25,APR,no
Mexico,2014,0.12,APR,no
Malaysia,2014,0.05,APR,no
Nigeria,2014,0.08,APR,no
Nicaragua,2014,0.27,APR,no
Netherlands (the),2014,0.09,APR,no
Norway,2014,0.03,APR,no
New Zealand,2014,0.17,APR,no
Panama,2014,0.07,APR,no
Peru,2014,0.03,APR,no
Philippines (the),2014,0.10,APR,no
Poland,2014,0.12,APR,no
Portugal,2014,0.24,APR,no
Serbia,2014,0.19,APR,no
Russian Federation (the),2014,0.07,APR,no
Sweden,2014,0.15,APR,no
Singapore,2014,0.11,APR,no
Slovakia,2014,0.14,APR,no
Turkey,2014,0.21,APR,no
Trinidad and Tobago,2014,0.36,APR,no
Taiwan ,2014,0.09,APR,no
"Tanzania, United Republic of",2014,0.04,APR,no
Ukraine,2014,0.15,APR,no
United States of America (the),2014,0.12,APR,no
Venezuela (Bolivarian Republic of),2014,0.13,APR,no
Vietnam,2014,0.15,APR,no
South Africa,2014,0.11,APR,no
Argentina,2014,0.06,MAY,no
Austria,2014,0.18,MAY,no
Australia,2014,0.08,MAY,no
Begium,2014,0.21,MAY,no
Bulgaria,2014,0.04,MAY,no
Bolivia (Plurinational State of),2014,0.18,MAY,no
Brazil,2014,0.15,MAY,no
Botswana,2014,0.14,MAY,no
Belize,2014,0.13,MAY,no
Canada,2014,0.14,MAY,no
Switzerland,2014,0.19,MAY,no
Chile,2014,0.04,MAY,no
China,2014,0.06,MAY,no
Colombia,2014,0.21,MAY,no
Costa Rica,2014,0.13,MAY,no
Cuba,2014,0.07,MAY,no
Czechia,2014,0.23,MAY,no
Germany,2014,0.13,MAY,no
Denmark,2014,0.16,MAY,no
Dominican Republic (the),2014,0.07,MAY,no
Ecuador,2014,0.22,MAY,no
Egypt,2014,0.15,MAY,no
Spain,2014,0.18,MAY,no
Finland,2014,0.16,MAY,no
France,2014,0.19,MAY,no
United Kingdom of Great Britain and Northern Ireland (the),2014,0.14,MAY,no
Greece,2014,0.16,MAY,no
Hong Kong,2014,0.16,MAY,no
Honduras,2014,0.17,MAY,no
Hungary,2014,0.31,MAY,no
Indonesia,2014,0.53,MAY,no
Ireland,2014,0.01,MAY,no
Israel,2014,0.15,MAY,no
India,2014,0.11,MAY,no
Italy,2014,0.18,MAY,no
Japan,2014,0.17,MAY,no
Kenya,2014,0.39,MAY,no
Cambodia,2014,0.01,MAY,no
Korea (the Republic of),2014,0.18,MAY,no
Kazakhstan,2014,0.15,MAY,no
Sri Lanka,2014,0.05,MAY,no
Lithuania,2014,0.21,MAY,no
Morocco,2014,0.16,MAY,no
Madagascar,2014,0.09,MAY,no
Mexico,2014,0.09,MAY,no
Malaysia,2014,0.07,MAY,no
Nigeria,2014,0.13,MAY,no
Nicaragua,2014,0.17,MAY,no
Netherlands (the),2014,0.17,MAY,no
Norway,2014,0.05,MAY,no
New Zealand,2014,0.12,MAY,no
Panama,2014,0.03,MAY,no
Peru,2014,0.05,MAY,no
Philippines (the),2014,0.19,MAY,no
Poland,2014,0.08,MAY,no
Portugal,2014,0.11,MAY,no
Serbia,2014,0.20,MAY,no
Russian Federation (the),2014,0.17,MAY,no
Sweden,2014,0.25,MAY,no
Singapore,2014,0.13,MAY,no
Slovakia,2014,0.22,MAY,no
Turkey,2014,0.29,MAY,no
Trinidad and Tobago,2014,0.19,MAY,no
Taiwan ,2014,0.11,MAY,no
"Tanzania, United Republic of",2014,0.13,MAY,no
Ukraine,2014,0.16,MAY,no
United States of America (the),2014,0.16,MAY,no
Venezuela (Bolivarian Republic of),2014,0.15,MAY,no
Vietnam,2014,0.07,MAY,no
South Africa,2014,0.12,MAY,no
Argentina,2015,0.12,MAR,no
Austria,2015,0.09,MAR,no
Australia,2015,0.13,MAR,no
Begium,2015,0.06,MAR,no
Bulgaria,2015,0.03,MAR,no
Bolivia (Plurinational State of),2015,0.15,MAR,no
Brazil,2015,0.12,MAR,no
Botswana,2015,0.11,MAR,no
Belize,2015,0.33,MAR,no
Canada,2015,0.03,MAR,no
Switzerland,2015,0.02,MAR,no
Chile,2015,0.07,MAR,no
China,2015,0.03,MAR,no
Colombia,2015,0.11,MAR,no
Costa Rica,2015,0.29,MAR,no
Cuba,2015,0.25,MAR,no
Czechia,2015,0.01,MAR,no
Germany,2015,0.08,MAR,no
Denmark,2015,0.04,MAR,no
Dominican Republic (the),2015,0.32,MAR,no
Ecuador,2015,0.17,MAR,no
Egypt,2015,0.00,MAR,no
Spain,2015,0.09,MAR,no
Finland,2015,0.01,MAR,no
France,2015,0.04,MAR,no
United Kingdom of Great Britain and Northern Ireland (the),2015,0.05,MAR,no
Greece,2015,0.13,MAR,no
Hong Kong,2015,0.09,MAR,no
Honduras,2015,0.09,MAR,no
Hungary,2015,0.03,MAR,no
Indonesia,2015,0.03,MAR,no
Ireland,2015,0.07,MAR,no
Israel,2015,0.29,MAR,no
India,2015,0.13,MAR,no
Italy,2015,0.04,MAR,no
Japan,2015,0.04,MAR,no
Kenya,2015,0.07,MAR,no
Cambodia,2015,0.16,MAR,no
Korea (the Republic of),2015,0.06,MAR,no
Kazakhstan,2015,0.03,MAR,no
Sri Lanka,2015,0.19,MAR,no
Lithuania,2015,0.06,MAR,no
Morocco,2015,0.06,MAR,no
Madagascar,2015,0.06,MAR,no
Mexico,2015,0.10,MAR,no
Malaysia,2015,0.09,MAR,no
Nigeria,2015,0.02,MAR,no
Nicaragua,2015,0.01,MAR,no
Netherlands (the),2015,0.02,MAR,no
Norway,2015,0.10,MAR,no
New Zealand,2015,0.12,MAR,no
Panama,2015,0.15,MAR,no
Peru,2015,0.13,MAR,no
Philippines (the),2015,0.18,MAR,no
Poland,2015,0.01,MAR,no
Portugal,2015,0.09,MAR,no
Serbia,2015,0.05,MAR,no
Russian Federation (the),2015,0.02,MAR,no
Sweden,2015,0.08,MAR,no
Singapore,2015,0.08,MAR,no
Slovakia,2015,0.05,MAR,no
Turkey,2015,0.03,MAR,no
Trinidad and Tobago,2015,0.06,MAR,no
Taiwan ,2015,0.05,MAR,no
"Tanzania, United Republic of",2015,0.22,MAR,no
Ukraine,2015,0.07,MAR,no
United States of America (the),2015,0.08,MAR,no
Venezuela (Bolivarian Republic of),2015,0.21,MAR,no
Vietnam,2015,0.07,MAR,no
South Africa,2015,0.09,MAR,no
Argentina,2015,0.17,APR,no
Austria,2015,0.09,APR,no
Australia,2015,0.12,APR,no
Begium,2015,0.37,APR,no
Bulgaria,2015,0.03,APR,no
Bolivia (Plurinational State of),2015,0.08,APR,no
Brazil,2015,0.12,APR,no
Botswana,2015,0.12,APR,no
Belize,2015,0.01,APR,no
Canada,2015,0.05,APR,no
Switzerland,2015,0.05,APR,no
Chile,2015,0.06,APR,no
China,2015,0.06,APR,no
Colombia,2015,0.11,APR,no
Costa Rica,2015,0.08,APR,no
Cuba,2015,0.20,APR,no
Czechia,2015,0.04,APR,no
Germany,2015,0.12,APR,no
Denmark,2015,0.08,APR,no
Dominican Republic (the),2015,0.09,APR,no
Ecuador,2015,0.04,APR,no
Egypt,2015,0.16,APR,no
Spain,2015,0.16,APR,no
Finland,2015,0.04,APR,no
France,2015,0.12,APR,no
United Kingdom of Great Britain and Northern Ireland (the),2015,0.11,APR,no
Greece,2015,0.17,APR,no
Hong Kong,2015,0.13,APR,no
Honduras,2015,0.11,APR,no
Hungary,2015,0.11,APR,no
Indonesia,2015,0.03,APR,no
Ireland,2015,0.19,APR,no
Israel,2015,0.15,APR,no
India,2015,0.08,APR,no
Italy,2015,0.08,APR,no
Japan,2015,0.06,APR,no
Kenya,2015,0.11,APR,no
Cambodia,2015,0.03,APR,no
Korea (the Republic of),2015,0.05,APR,no
Kazakhstan,2015,0.10,APR,no
Sri Lanka,2015,0.17,APR,no
Lithuania,2015,0.08,APR,no
Morocco,2015,0.33,APR,no
Madagascar,2015,0.06,APR,no
Mexico,2015,0.11,APR,no
Malaysia,2015,0.17,APR,no
Nigeria,2015,0.11,APR,no
Nicaragua,2015,0.07,APR,no
Netherlands (the),2015,0.12,APR,no
Norway,2015,0.12,APR,no
New Zealand,2015,0.10,APR,no
Panama,2015,0.18,APR,no
Peru,2015,0.02,APR,no
Philippines (the),2015,0.10,APR,no
Poland,2015,0.07,APR,no
Portugal,2015,0.13,APR,no
Serbia,2015,0.33,APR,no
Russian Federation (the),2015,0.05,APR,no
Sweden,2015,0.17,APR,no
Singapore,2015,0.09,APR,no
Slovakia,2015,0.16,APR,no
Turkey,2015,0.12,APR,no
Trinidad and Tobago,2015,0.03,APR,no
Taiwan ,2015,0.19,APR,no
"Tanzania, United Republic of",2015,0.02,APR,no
Ukraine,2015,0.17,APR,no
United States of America (the),2015,0.12,APR,no
Venezuela (Bolivarian Republic of),2015,0.17,APR,no
Vietnam,2015,0.15,APR,no
South Africa,2015,0.08,APR,no
Argentina,2015,0.11,MAY,no
Austria,2015,0.20,MAY,no
Australia,2015,0.09,MAY,no
Begium,2015,0.11,MAY,no
Bulgaria,2015,0.02,MAY,no
Bolivia (Plurinational State of),2015,0.04,MAY,no
Brazil,2015,0.08,MAY,no
Botswana,2015,0.05,MAY,no
Belize,2015,0.01,MAY,no
Canada,2015,0.17,MAY,no
Switzerland,2015,0.17,MAY,no
Chile,2015,0.08,MAY,no
China,2015,0.07,MAY,no
Colombia,2015,0.14,MAY,no
Costa Rica,2015,0.07,MAY,no
Cuba,2015,0.09,MAY,no
Czechia,2015,0.13,MAY,no
Germany,2015,0.17,MAY,no
Denmark,2015,0.08,MAY,no
Dominican Republic (the),2015,0.24,MAY,no
Ecuador,2015,0.05,MAY,no
Egypt,2015,0.01,MAY,no
Spain,2015,0.17,MAY,no
Finland,2015,0.22,MAY,no
France,2015,0.16,MAY,no
United Kingdom of Great Britain and Northern Ireland (the),2015,0.16,MAY,no
Greece,2015,0.10,MAY,no
Hong Kong,2015,0.17,MAY,no
Honduras,2015,0.05,MAY,no
Hungary,2015,0.04,MAY,no
Indonesia,2015,0.03,MAY,no
Ireland,2015,0.15,MAY,no
Israel,2015,0.06,MAY,no
India,2015,0.20,MAY,no
Italy,2015,0.17,MAY,no
Japan,2015,0.13,MAY,no
Kenya,2015,0.07,MAY,no
Cambodia,2015,0.04,MAY,no
Korea (the Republic of),2015,0.17,MAY,no
Kazakhstan,2015,0.64,MAY,no
Sri Lanka,2015,0.05,MAY,no
Lithuania,2015,0.22,MAY,no
Morocco,2015,0.05,MAY,no
Madagascar,2015,0.05,MAY,no
Mexico,2015,0.14,MAY,no
Malaysia,2015,0.08,MAY,no
Nigeria,2015,0.26,MAY,no
Nicaragua,2015,0.13,MAY,no
Netherlands (the),2015,0.23,MAY,no
Norway,2015,0.17,MAY,no
New Zealand,2015,0.10,MAY,no
Panama,2015,0.07,MAY,no
Peru,2015,0.05,MAY,no
Philippines (the),2015,0.06,MAY,no
Poland,2015,0.11,MAY,no
Portugal,2015,0.25,MAY,no
Serbia,2015,0.11,MAY,no
Russian Federation (the),2015,0.17,MAY,no
Sweden,2015,0.17,MAY,no
Singapore,2015,0.28,MAY,no
Slovakia,2015,0.21,MAY,no
Turkey,2015,0.70,MAY,no
Trinidad and Tobago,2015,0.03,MAY,no
Taiwan ,2015,0.20,MAY,no
"Tanzania, United Republic of",2015,0.03,MAY,no
Ukraine,2015,0.38,MAY,no
United States of America (the),2015,0.16,MAY,no
Venezuela (Bolivarian Republic of),2015,0.14,MAY,no
Vietnam,2015,0.11,MAY,no
South Africa,2015,0.12,MAY,no
Argentina,2016,0.12,MAR,no
Austria,2016,0.05,MAR,no
Australia,2016,0.12,MAR,no
Begium,2016,0.08,MAR,no
Bulgaria,2016,0.12,MAR,no
Bolivia (Plurinational State of),2016,0.19,MAR,no
Brazil,2016,0.08,MAR,no
Botswana,2016,0.01,MAR,no
Belize,2016,0.23,MAR,no
Canada,2016,0.04,MAR,no
Switzerland,2016,0.04,MAR,no
Chile,2016,0.37,MAR,no
China,2016,0.03,MAR,no
Colombia,2016,0.11,MAR,no
Costa Rica,2016,0.17,MAR,no
Cuba,2016,0.14,MAR,no
Czechia,2016,0.08,MAR,no
Germany,2016,0.04,MAR,no
Denmark,2016,0.06,MAR,no
Dominican Republic (the),2016,0.06,MAR,no
Ecuador,2016,0.09,MAR,no
Egypt,2016,0.02,MAR,no
Spain,2016,0.10,MAR,no
Finland,2016,0.03,MAR,no
France,2016,0.06,MAR,no
United Kingdom of Great Britain and Northern Ireland (the),2016,0.08,MAR,no
Greece,2016,0.05,MAR,no
Hong Kong,2016,0.06,MAR,no
Honduras,2016,0.16,MAR,no
Hungary,2016,0.01,MAR,no
Indonesia,2016,0.05,MAR,no
Ireland,2016,0.02,MAR,no
Israel,2016,0.18,MAR,no
India,2016,0.12,MAR,no
Italy,2016,0.07,MAR,no
Japan,2016,0.13,MAR,no
Kenya,2016,0.15,MAR,no
Cambodia,2016,0.02,MAR,no
Korea (the Republic of),2016,0.05,MAR,no
Kazakhstan,2016,0.00,MAR,no
Sri Lanka,2016,0.16,MAR,no
Lithuania,2016,0.01,MAR,no
Morocco,2016,0.16,MAR,no
Madagascar,2016,0.16,MAR,no
Mexico,2016,0.11,MAR,no
Malaysia,2016,0.18,MAR,no
Nigeria,2016,0.11,MAR,no
Nicaragua,2016,0.28,MAR,no
Netherlands (the),2016,0.03,MAR,no
Norway,2016,0.00,MAR,no
New Zealand,2016,0.13,MAR,no
Panama,2016,0.13,MAR,no
Peru,2016,0.08,MAR,no
Philippines (the),2016,0.17,MAR,no
Poland,2016,0.05,MAR,no
Portugal,2016,0.09,MAR,no
Serbia,2016,0.10,MAR,no
Russian Federation (the),2016,0.03,MAR,no
Sweden,2016,0.03,MAR,no
Singapore,2016,0.06,MAR,no
Slovakia,2016,0.09,MAR,no
Turkey,2016,0.01,MAR,no
Trinidad and Tobago,2016,0.08,MAR,no
Taiwan ,2016,0.07,MAR,no
"Tanzania, United Republic of",2016,0.03,MAR,no
Ukraine,2016,0.01,MAR,no
United States of America (the),2016,0.09,MAR,no
Venezuela (Bolivarian Republic of),2016,0.14,MAR,no
Vietnam,2016,0.08,MAR,no
South Africa,2016,0.11,MAR,no
Argentina,2016,0.08,APR,no
Austria,2016,0.09,APR,no
Australia,2016,0.10,APR,no
Begium,2016,0.03,APR,no
Bulgaria,2016,0.13,APR,no
Bolivia (Plurinational State of),2016,0.16,APR,no
Brazil,2016,0.08,APR,no
Botswana,2016,0.19,APR,no
Belize,2016,0.03,APR,no
Canada,2016,0.08,APR,no
Switzerland,2016,0.09,APR,no
Chile,2016,0.07,APR,no
China,2016,0.06,APR,no
Colombia,2016,0.17,APR,no
Costa Rica,2016,0.04,APR,no
Cuba,2016,0.36,APR,no
Czechia,2016,0.04,APR,no
Germany,2016,0.10,APR,no
Denmark,2016,0.13,APR,no
Dominican Republic (the),2016,0.06,APR,no
Ecuador,2016,0.05,APR,no
Egypt,2016,0.01,APR,no
Spain,2016,0.16,APR,no
Finland,2016,0.05,APR,no
France,2016,0.13,APR,no
United Kingdom of Great Britain and Northern Ireland (the),2016,0.08,APR,no
Greece,2016,0.16,APR,no
Hong Kong,2016,0.08,APR,no
Honduras,2016,0.18,APR,no
Hungary,2016,0.07,APR,no
Indonesia,2016,0.10,APR,no
Ireland,2016,0.02,APR,no
Israel,2016,0.14,APR,no
India,2016,0.11,APR,no
Italy,2016,0.12,APR,no
Japan,2016,0.17,APR,no
Kenya,2016,0.09,APR,no
Cambodia,2016,0.02,APR,no
Korea (the Republic of),2016,0.09,APR,no
Kazakhstan,2016,0.03,APR,no
Sri Lanka,2016,0.18,APR,no
Lithuania,2016,0.03,APR,no
Morocco,2016,0.68,APR,no
Madagascar,2016,0.15,APR,no
Mexico,2016,0.09,APR,no
Malaysia,2016,0.13,APR,no
Nigeria,2016,0.05,APR,no
Nicaragua,2016,0.05,APR,no
Netherlands (the),2016,0.17,APR,no
Norway,2016,0.08,APR,no
New Zealand,2016,0.12,APR,no
Panama,2016,0.19,APR,no
Peru,2016,0.07,APR,no
Philippines (the),2016,0.23,APR,no
Poland,2016,0.06,APR,no
Portugal,2016,0.15,APR,no
Serbia,2016,0.09,APR,no
Russian Federation (the),2016,0.09,APR,no
Sweden,2016,0.22,APR,no
Singapore,2016,0.14,APR,no
Slovakia,2016,0.19,APR,no
Turkey,2016,0.10,APR,no
Trinidad and Tobago,2016,0.20,APR,no
Taiwan ,2016,0.13,APR,no
"Tanzania, United Republic of",2016,0.03,APR,no
Ukraine,2016,0.17,APR,no
United States of America (the),2016,0.14,APR,no
Venezuela (Bolivarian Republic of),2016,0.11,APR,no
Vietnam,2016,0.09,APR,no
South Africa,2016,0.09,APR,no
Argentina,2016,0.08,MAY,no
Austria,2016,0.13,MAY,no
Australia,2016,0.09,MAY,no
Begium,2016,0.06,MAY,no
Bulgaria,2016,0.13,MAY,no
Bolivia (Plurinational State of),2016,0.05,MAY,no
Brazil,2016,0.08,MAY,no
Botswana,2016,0.01,MAY,no
Belize,2016,0.21,MAY,no
Canada,2016,0.16,MAY,no
Switzerland,2016,0.12,MAY,no
Chile,2016,0.03,MAY,no
China,2016,0.05,MAY,no
Colombia,2016,0.12,MAY,no
Costa Rica,2016,0.03,MAY,no
Cuba,2016,0.00,MAY,no
Czechia,2016,0.22,MAY,no
Germany,2016,0.12,MAY,no
Denmark,2016,0.17,MAY,no
Dominican Republic (the),2016,0.05,MAY,no
Ecuador,2016,0.07,MAY,no
Egypt,2016,0.00,MAY,no
Spain,2016,0.15,MAY,no
Finland,2016,0.14,MAY,no
France,2016,0.16,MAY,no
United Kingdom of Great Britain and Northern Ireland (the),2016,0.16,MAY,no
Greece,2016,0.18,MAY,no
Hong Kong,2016,0.18,MAY,no
Honduras,2016,0.04,MAY,no
Hungary,2016,0.29,MAY,no
Indonesia,2016,0.02,MAY,no
Ireland,2016,0.05,MAY,no
Israel,2016,0.12,MAY,no
India,2016,0.10,MAY,no
Italy,2016,0.17,MAY,no
Japan,2016,0.16,MAY,no
Kenya,2016,0.10,MAY,no
Cambodia,2016,0.01,MAY,no
Korea (the Republic of),2016,0.14,MAY,no
Kazakhstan,2016,0.17,MAY,no
Sri Lanka,2016,0.01,MAY,no
Lithuania,2016,0.07,MAY,no
Morocco,2016,0.03,MAY,no
Madagascar,2016,0.11,MAY,no
Mexico,2016,0.10,MAY,no
Malaysia,2016,0.11,MAY,no
Nigeria,2016,0.09,MAY,no
Nicaragua,2016,0.07,MAY,no
Netherlands (the),2016,0.10,MAY,no
Norway,2016,0.17,MAY,no
New Zealand,2016,0.09,MAY,no
Panama,2016,0.04,MAY,no
Peru,2016,0.06,MAY,no
Philippines (the),2016,0.26,MAY,no
Poland,2016,0.20,MAY,no
Portugal,2016,0.19,MAY,no
Serbia,2016,0.09,MAY,no
Russian Federation (the),2016,0.18,MAY,no
Sweden,2016,0.13,MAY,no
Singapore,2016,0.13,MAY,no
Slovakia,2016,0.17,MAY,no
Turkey,2016,0.10,MAY,no
Trinidad and Tobago,2016,0.02,MAY,no
Taiwan ,2016,0.23,MAY,no
"Tanzania, United Republic of",2016,0.04,MAY,no
Ukraine,2016,0.17,MAY,no
United States of America (the),2016,0.16,MAY,no
Venezuela (Bolivarian Republic of),2016,0.08,MAY,no
Vietnam,2016,0.11,MAY,no
South Africa,2016,0.08,MAY,no
Argentina,2017,0.13,MAR,no
Austria,2017,0.03,MAR,no
Australia,2017,0.08,MAR,no
Begium,2017,0.15,MAR,no
Bulgaria,2017,0.11,MAR,no
Bolivia (Plurinational State of),2017,0.15,MAR,no
Brazil,2017,0.05,MAR,no
Botswana,2017,0.11,MAR,no
Belize,2017,0.15,MAR,no
Canada,2017,0.02,MAR,no
Switzerland,2017,0.07,MAR,no
Chile,2017,0.08,MAR,no
China,2017,0.04,MAR,no
Colombia,2017,0.07,MAR,no
Costa Rica,2017,0.24,MAR,no
Cuba,2017,0.10,MAR,no
Czechia,2017,0.05,MAR,no
Germany,2017,0.09,MAR,no
Denmark,2017,0.05,MAR,no
Dominican Republic (the),2017,0.13,MAR,no
Ecuador,2017,0.32,MAR,no
Egypt,2017,0.03,MAR,no
Spain,2017,0.07,MAR,no
Finland,2017,0.01,MAR,no
France,2017,0.05,MAR,no
United Kingdom of Great Britain and Northern Ireland (the),2017,0.07,MAR,no
Greece,2017,0.06,MAR,no
Hong Kong,2017,0.10,MAR,no
Honduras,2017,0.05,MAR,no
Hungary,2017,0.03,MAR,no
Indonesia,2017,0.14,MAR,no
Ireland,2017,0.01,MAR,no
Israel,2017,0.20,MAR,no
India,2017,0.10,MAR,no
Italy,2017,0.08,MAR,no
Japan,2017,0.07,MAR,no
Kenya,2017,0.08,MAR,no
Cambodia,2017,0.28,MAR,no
Korea (the Republic of),2017,0.06,MAR,no
Kazakhstan,2017,0.03,MAR,no
Sri Lanka,2017,0.01,MAR,no
Lithuania,2017,0.05,MAR,no
Morocco,2017,0.14,MAR,no
Madagascar,2017,0.07,MAR,no
Mexico,2017,0.12,MAR,no
Malaysia,2017,0.10,MAR,no
Nigeria,2017,0.12,MAR,no
Nicaragua,2017,0.03,MAR,no
Netherlands (the),2017,0.10,MAR,no
Norway,2017,0.03,MAR,no
New Zealand,2017,0.12,MAR,no
Panama,2017,0.32,MAR,no
Peru,2017,0.04,MAR,no
Philippines (the),2017,0.02,MAR,no
Poland,2017,0.04,MAR,no
Portugal,2017,0.09,MAR,no
Serbia,2017,0.18,MAR,no
Russian Federation (the),2017,0.03,MAR,no
Sweden,2017,0.01,MAR,no
Singapore,2017,0.04,MAR,no
Slovakia,2017,0.12,MAR,no
Turkey,2017,0.05,MAR,no
Trinidad and Tobago,2017,0.03,MAR,no
Taiwan ,2017,0.08,MAR,no
"Tanzania, United Republic of",2017,0.04,MAR,no
Ukraine,2017,0.07,MAR,no
United States of America (the),2017,0.09,MAR,no
Venezuela (Bolivarian Republic of),2017,0.21,MAR,no
Vietnam,2017,0.07,MAR,no
South Africa,2017,0.10,MAR,no
Argentina,2017,0.13,APR,no
Austria,2017,0.08,APR,no
Australia,2017,0.10,APR,no
Begium,2017,0.11,APR,no
Bulgaria,2017,0.21,APR,no
Bolivia (Plurinational State of),2017,0.06,APR,no
Brazil,2017,0.06,APR,no
Botswana,2017,0.15,APR,no
Belize,2017,0.02,APR,no
Canada,2017,0.06,APR,no
Switzerland,2017,0.12,APR,no
Chile,2017,0.10,APR,no
China,2017,0.09,APR,no
Colombia,2017,0.10,APR,no
Costa Rica,2017,0.08,APR,no
Cuba,2017,0.14,APR,no
Czechia,2017,0.18,APR,no
Germany,2017,0.11,APR,no
Denmark,2017,0.05,APR,no
Dominican Republic (the),2017,0.09,APR,no
Ecuador,2017,0.10,APR,no
Egypt,2017,0.04,APR,no
Spain,2017,0.18,APR,no
Finland,2017,0.03,APR,no
France,2017,0.14,APR,no
United Kingdom of Great Britain and Northern Ireland (the),2017,0.10,APR,no
Greece,2017,0.14,APR,no
Hong Kong,2017,0.16,APR,no
Honduras,2017,0.13,APR,no
Hungary,2017,0.17,APR,no
Indonesia,2017,0.21,APR,no
Ireland,2017,0.06,APR,no
Israel,2017,0.13,APR,no
India,2017,0.09,APR,no
Italy,2017,0.15,APR,no
Japan,2017,0.10,APR,no
Kenya,2017,0.03,APR,no
Cambodia,2017,0.00,APR,no
Korea (the Republic of),2017,0.08,APR,no
Kazakhstan,2017,0.04,APR,no
Sri Lanka,2017,0.04,APR,no
Lithuania,2017,0.11,APR,no
Morocco,2017,0.04,APR,no
Madagascar,2017,0.09,APR,no
Mexico,2017,0.12,APR,no
Malaysia,2017,0.10,APR,no
Nigeria,2017,0.09,APR,no
Nicaragua,2017,0.12,APR,no
Netherlands (the),2017,0.10,APR,no
Norway,2017,0.04,APR,no
New Zealand,2017,0.17,APR,no
Panama,2017,0.11,APR,no
Peru,2017,0.03,APR,no
Philippines (the),2017,0.04,APR,no
Poland,2017,0.09,APR,no
Portugal,2017,0.22,APR,no
Serbia,2017,0.16,APR,no
Russian Federation (the),2017,0.09,APR,no
Sweden,2017,0.03,APR,no
Singapore,2017,0.09,APR,no
Slovakia,2017,0.13,APR,no
Turkey,2017,0.08,APR,no
Trinidad and Tobago,2017,0.05,APR,no
Taiwan ,2017,0.17,APR,no
"Tanzania, United Republic of",2017,0.02,APR,no
Ukraine,2017,0.20,APR,no
United States of America (the),2017,0.18,APR,no
Venezuela (Bolivarian Republic of),2017,0.19,APR,no
Vietnam,2017,0.29,APR,no
South Africa,2017,0.11,APR,no
Argentina,2017,0.05,MAY,no
Austria,2017,0.15,MAY,no
Australia,2017,0.09,MAY,no
Begium,2017,0.15,MAY,no
Bulgaria,2017,0.12,MAY,no
